,speaker,path
0,28a0e5ec608af5cd213913d7983eff7c8a8f4dad4c47f62fc8ca0e3745eec8be99c1a7433d49b4518fb2263d559030b939dd6799e177958164ef94ee73bf5e93,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38600236.mp3
1,3e030fe5ca1c7fd273d9f3ab2394bb93bb9b460b5ad12ae45eac93f5c7c1ffcf438ef3a3a2676b470d4ef761cdae8fcf8a777dc91ae3e2665511fee6ac25fd1d,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38899159.mp3
2,405c4b571432296f236aba3541f91aa1ae496d0a97d715d922b58df7ca15365fdc05da4a1ec1b382c4e9f407544a09c818df3f7fdb766a93d01ecb452535c12c,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38944527.mp3
3,9f15e5d009052e2752891456f57a5b659dcab8e0bdde6897db3f3ffb98ae592dd9057b7990e4ebfe53c0aa80bcf07668069d0775ca07e3b7fd2687df7e90b0aa,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38877240.mp3
4,cb0e457a08c8e5b6bcba0731b1810349dd6b381a6d078a5e45eef9d7b2c8e8a544ad463687b6346a2977b71dc574c53ba45b65889e36db2af61bf36f4704fcde,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38566983.mp3
5,d2b517d9ef7aec6b63d41fefeee036f63e8342e743c4f3f2e47c85c98c06df33c402a8e43144c8916f4aeb570f852f65ccf950aa1eb244290300e00e0d3272d2,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38590825.mp3
6,5c1bf3b021aaea27558efe192d63172a57da33604898e930ef1b269be02f017eed9a93f837012b03af4f56e573de49fe74b6770ccdc905ea1b41dda3a3ea4128,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38490975.mp3
7,5c1bf3b021aaea27558efe192d63172a57da33604898e930ef1b269be02f017eed9a93f837012b03af4f56e573de49fe74b6770ccdc905ea1b41dda3a3ea4128,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38491010.mp3
8,5e7d8d86471f5e3edf96c68b4f0b23d542376fc810cffa77840fe42531a34055167e55325e70b71771c70c2011bc654e9c14beece85964426c02324a50460ef6,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38771102.mp3
9,5e7d8d86471f5e3edf96c68b4f0b23d542376fc810cffa77840fe42531a34055167e55325e70b71771c70c2011bc654e9c14beece85964426c02324a50460ef6,..\data.\cv-corpus-16.1-delta-2023-12-06\pt\clips\common_voice_pt_38788580.mp3
